RMS,Peak,Freq,Crest,THD
0.1157,0.1776,62.5,1.535,2.1474073917314187
0.1168,0.172,62.5,1.473,2.02795331764278
0.1148,0.184,62.5,1.603,1.9897225760842616
0.1145,0.1824,62.5,1.592,1.970602243628735
0.1146,0.1862,75.0,1.624,1.930486380425258
0.1147,0.187,62.5,1.631,1.9386171324534551
0.115,0.1832,62.5,1.593,2.0020462847287384
0.1155,0.1803,62.5,1.561,2.0960845258163
0.1164,0.1709,62.5,1.468,2.05218178225933
0.115,0.1836,62.5,1.597,2.001350718293351
0.1155,0.1784,62.5,1.545,2.155582916996597
0.1149,0.1867,62.5,1.625,1.9918092144729556
0.1147,0.1834,62.5,1.599,1.9756792343171004
0.1155,0.182,62.5,1.576,2.1172013143994803
0.1158,0.1822,62.5,1.574,2.151442864348847
0.1164,0.1731,62.5,1.488,2.0698375651673158
0.1158,0.1761,62.5,1.522,2.1062719167147397
0.1154,0.1808,62.5,1.568,2.099959615673736
0.1151,0.1848,62.5,1.606,1.94740869128963
0.1159,0.1752,62.5,1.511,2.0729168748948448
0.1162,0.172,62.5,1.48,2.0574995471291433
0.1167,0.1642,62.5,1.407,2.025184731506975
0.1151,0.1861,62.5,1.617,1.9935943234030806
0.1151,0.1833,62.5,1.593,2.013832436388971
0.1166,0.174,62.5,1.493,2.0288937661314046
0.1156,0.1775,62.5,1.535,2.1208103910043543
0.1147,0.1867,75.0,1.628,1.9347191326494315
0.1165,0.1675,62.5,1.438,2.0257054883534305
0.1143,0.1867,75.0,1.634,1.9320440782375539
0.1147,0.1847,62.5,1.61,1.9765880188253282
0.115,0.1831,62.5,1.592,2.0668671704451627
0.1165,0.1652,62.5,1.418,2.0260300741040713
0.1162,0.1675,62.5,1.441,2.0328155205704594
0.1149,0.1842,62.5,1.604,2.0525904517842224
0.115,0.1812,62.5,1.576,2.0812290693879256
0.1166,0.167,62.5,1.432,2.0233966884009864
0.1149,0.185,62.5,1.61,1.9374511563014432
0.1167,0.168,62.5,1.439,2.029588721132166
0.1164,0.1703,62.5,1.463,2.0555992090391793
0.116,0.1689,62.5,1.455,2.0380774252335176
0.1161,0.1683,62.5,1.451,2.0304295017593463
0.1152,0.1776,62.5,1.542,2.1561028612735496
0.1142,0.1833,75.0,1.606,1.9371285070041317
0.1142,0.1892,75.0,1.656,1.9301558163407342
0.116,0.1704,62.5,1.469,2.049870887335983
0.1161,0.1716,62.5,1.478,2.0543536820150368
0.1155,0.1758,62.5,1.522,2.0851143564053447
0.1148,0.1813,62.5,1.579,2.0351626487004553
0.1147,0.1869,62.5,1.629,1.9538222190691932
0.1164,0.1721,62.5,1.479,2.0422913653021353
0.1158,0.1812,62.5,1.564,2.1395222220735923
0.1163,0.1677,62.5,1.442,2.024252235802256
0.1157,0.1745,62.5,1.508,2.0697012381145807
0.1149,0.1849,62.5,1.609,2.059674999369042
0.1147,0.1804,62.5,1.573,2.075361626872748
0.1162,0.1742,62.5,1.499,2.0638418855607528
0.1158,0.1734,62.5,1.497,2.0824075365737107
0.1145,0.1838,62.5,1.606,1.9435175259122264
0.1146,0.1862,62.5,1.625,1.9518542320049355
0.115,0.1813,62.5,1.577,2.092578745552175
0.1163,0.1694,62.5,1.457,2.0464049202661405
0.1152,0.1816,62.5,1.576,2.139988117354646
0.1144,0.1871,87.5,1.635,1.93477596307017
0.1163,0.1667,62.5,1.434,2.0231335775661243
0.1148,0.1877,62.5,1.635,1.9504553408432372
0.1153,0.1849,62.5,1.604,2.0685807332626402
0.1162,0.1655,62.5,1.424,2.0254057351329124
0.1153,0.1792,62.5,1.555,2.1509790840099674
0.1147,0.1847,62.5,1.61,1.9344204696268437
0.1151,0.1801,62.5,1.564,2.1090144886952
0.1159,0.1731,62.5,1.494,2.0407331179834536
0.115,0.1809,62.5,1.572,2.1093432294932457
0.1143,0.1874,62.5,1.639,1.930791410297531
0.1147,0.182,62.5,1.587,2.011442132094844
0.1159,0.1656,62.5,1.429,2.0291270719125336
0.1149,0.1806,62.5,1.571,2.069558914780717
0.1149,0.1801,62.5,1.567,2.06185442775014
